,open,close,high,low,volume,date
1085,19407.4,19582.5,19648.8,18827.2,991678.224,2022-09-29
1086,19582.5,19411.7,20172.7,19066.0,1071462.934,2022-09-30
1087,19411.6,19304.0,19474.0,19140.0,294457.009,2022-10-01
1088,19304.0,19049.4,19389.0,18896.0,414970.451,2022-10-02
1089,19049.3,19622.0,19723.7,18950.8,621816.329,2022-10-03
1090,19621.9,20333.0,20500.0,19480.1,796678.762,2022-10-04
1091,20332.9,20150.0,20356.1,19707.0,719577.149,2022-10-05
1092,20149.9,19954.0,20443.9,19843.3,782034.669,2022-10-06
1093,19954.0,19520.9,20067.0,19304.4,673407.102,2022-10-07
1094,19520.9,19406.2,19619.6,19200.0,253257.201,2022-10-08
1095,19406.3,19430.0,19550.0,19310.0,267178.795,2022-10-09
1096,19430.0,19124.0,19513.0,19000.0,560920.904,2022-10-10
1097,19124.1,19055.0,19260.0,18850.0,603358.324,2022-10-11
1098,19055.0,19148.0,19240.0,18924.3,406770.288,2022-10-12
1099,19148.1,19365.5,19498.6,17917.8,1104615.001,2022-10-13
1100,19365.4,19164.6,19947.9,19059.6,861453.210,2022-10-14
1101,19164.6,19060.4,19218.8,18966.0,241520.185,2022-10-15
1102,19060.4,19251.9,19415.9,19058.0,267921.192,2022-10-16
1103,19251.8,19540.6,19666.0,19148.0,502319.759,2022-10-17
1104,19540.7,19320.9,19706.4,19081.0,634343.154,2022-10-18
1105,19320.9,19116.7,19349.8,19050.0,404370.458,2022-10-19
1106,19116.6,19034.7,19350.0,18882.4,537627.048,2022-10-20
1107,19034.8,19150.9,19240.0,18600.0,581878.905,2022-10-21
1108,19151.0,19195.1,19250.0,19103.5,174055.042,2022-10-22
1109,19195.1,19560.7,19690.0,19050.0,358611.542,2022-10-23
1110,19560.6,19318.1,19593.3,19146.0,476676.536,2022-10-24
1111,19318.1,20068.3,20415.0,19228.0,777306.534,2022-10-25
1112,20068.3,20758.3,21030.0,20041.1,841864.982,2022-10-26
1113,20758.4,20285.5,20863.7,20170.0,614910.045,2022-10-27
1114,20285.6,20582.8,20740.0,19951.0,595538.882,2022-10-28
1115,20582.7,20796.7,21088.0,20547.8,482217.170,2022-10-29
1116,20796.7,20615.6,20925.2,20503.0,295389.690,2022-10-30
1117,20615.5,20482.0,20838.7,20225.4,478797.266,2022-10-31
1118,20482.1,20472.1,20687.0,20320.0,314676.187,2022-11-01
1119,20472.1,20140.1,20796.0,20050.0,651535.761,2022-11-02
1120,20140.2,20199.7,20400.0,20026.0,372121.061,2022-11-03
1121,20199.8,21137.6,21297.0,20171.6,824515.215,2022-11-04
1122,21137.6,21289.9,21473.7,21071.1,303983.372,2022-11-05
1123,21289.8,20900.0,21355.8,20863.3,277148.646,2022-11-06
1124,20900.0,20578.6,21062.6,20374.0,554408.316,2022-11-07
1125,20578.5,18534.0,20685.0,16830.0,2046476.313,2022-11-08
1126,18533.9,15905.0,18574.9,15462.6,2065606.412,2022-11-09
1127,15905.0,17588.0,18230.0,15730.0,1497093.602,2022-11-10
1128,17588.0,17058.3,17678.0,16343.0,955344.602,2022-11-11
1129,17058.4,16806.9,17110.8,16623.8,304455.717,2022-11-12
1130,16806.9,16321.2,16950.0,16210.3,349742.836,2022-11-13
1131,16321.3,16605.2,17188.0,15805.5,934392.484,2022-11-14
1132,16605.3,16888.3,17127.2,16516.7,649349.458,2022-11-15
