,close,high,low,volume,date,ticker
1934,142.41,145.0,142.41,5302400,2000-09-26,SPY
1935,143.16,143.97,142.13,7186200,2000-09-27,SPY
1936,145.0,146.33,142.89,7036400,2000-09-28,SPY
1937,143.63,145.97,143.63,9333600,2000-09-29,SPY
1938,143.84,144.91,143.14,5517800,2000-10-02,SPY
1939,142.5,145.75,142.28,9347200,2000-10-03,SPY
1940,143.69,144.25,141.75,6148900,2000-10-04,SPY
1941,144.19,144.84,143.31,4566900,2000-10-05,SPY
1942,141.06,144.64,139.75,10014900,2000-10-06,SPY
1943,140.0,141.31,139.38,4508000,2000-10-09,SPY
1944,137.69,141.25,137.69,6104700,2000-10-10,SPY
1945,136.53,138.63,135.13,10346000,2000-10-11,SPY
1946,133.13,137.59,132.78,12336900,2000-10-12,SPY
1947,137.56,137.66,132.88,11778800,2000-10-13,SPY
1948,138.19,138.23,136.69,5659000,2000-10-16,SPY
1949,134.75,138.56,134.41,7831700,2000-10-17,SPY
1950,134.25,136.13,130.16,10897300,2000-10-18,SPY
1951,139.31,139.45,136.44,8767300,2000-10-19,SPY
1952,139.91,141.19,138.38,7373500,2000-10-20,SPY
1953,140.53,141.03,138.94,5290000,2000-10-23,SPY
1954,139.59,141.94,139.0,5750700,2000-10-24,SPY
1955,136.31,139.56,136.13,9137600,2000-10-25,SPY
1956,136.69,137.66,134.03,9345800,2000-10-26,SPY
1957,139.28,139.28,136.63,9762900,2000-10-27,SPY
1958,140.53,141.09,138.16,10154100,2000-10-30,SPY
1959,142.95,143.69,140.06,7752400,2000-10-31,SPY
1960,142.47,143.25,141.22,6753600,2000-11-01,SPY
1961,142.7,143.91,142.52,11395100,2000-11-02,SPY
1962,142.78,143.75,142.38,5187100,2000-11-03,SPY
1963,143.78,144.3,143.03,4042500,2000-11-06,SPY
1964,143.75,144.0,142.56,5231300,2000-11-07,SPY
1965,140.56,144.06,140.56,6123300,2000-11-08,SPY
1966,140.03,141.22,137.25,10635300,2000-11-09,SPY
1967,136.63,139.47,136.53,8569500,2000-11-10,SPY
1968,135.56,136.98,133.02,17285300,2000-11-13,SPY
1969,139.13,139.63,137.0,7668900,2000-11-14,SPY
1970,139.56,140.11,137.75,8837700,2000-11-15,SPY
1971,137.38,139.88,137.31,6684100,2000-11-16,SPY
1972,136.64,139.0,135.75,6551100,2000-11-17,SPY
1973,134.69,136.38,134.31,5458500,2000-11-20,SPY
1974,135.38,136.19,133.52,7684300,2000-11-21,SPY
1975,132.14,134.88,132.13,5736900,2000-11-22,SPY
1976,134.84,134.97,133.63,3411600,2000-11-24,SPY
1977,136.03,136.69,135.31,5992000,2000-11-27,SPY
1978,133.69,136.59,133.64,5336100,2000-11-28,SPY
1979,133.44,135.91,133.27,6914100,2000-11-29,SPY
1980,132.28,133.5,129.75,11201600,2000-11-30,SPY
1981,132.22,134.06,131.0,7587200,2000-12-01,SPY
1982,133.34,133.88,131.5,6996600,2000-12-04,SPY
1983,137.72,138.25,134.41,8883400,2000-12-05,SPY
1984,135.52,138.34,135.03,12888000,2000-12-06,SPY
1985,133.66,135.88,133.66,6529100,2000-12-07,SPY
1986,133.97,139.47,133.88,10276300,2000-12-08,SPY
1987,138.63,139.56,136.72,6405600,2000-12-11,SPY
1988,138.03,138.81,137.38,5022900,2000-12-12,SPY
1989,136.14,139.41,136.03,6070500,2000-12-13,SPY
1990,134.41,136.5,134.03,7678400,2000-12-14,SPY
1991,130.97,133.13,130.56,9065300,2000-12-15,SPY
1992,132.72,133.47,131.77,7235400,2000-12-18,SPY
1993,130.02,134.97,130.02,9616600,2000-12-19,SPY
1994,126.25,128.94,126.09,9994300,2000-12-20,SPY
1995,127.13,128.86,125.53,14331500,2000-12-21,SPY
1996,130.94,131.11,128.84,10182900,2000-12-22,SPY
1997,132.34,132.34,130.28,4665300,2000-12-26,SPY
1998,133.31,133.73,131.25,4854100,2000-12-27,SPY
1999,133.72,133.88,132.59,8358700,2000-12-28,SPY
2000,131.19,134.28,131.19,8774600,2000-12-29,SPY
2001,128.81,132.16,127.56,8737500,2001-01-02,SPY
2002,135.0,136.0,127.66,19431600,2001-01-03,SPY
2003,133.55,135.47,133.0,9219000,2001-01-04,SPY
2004,129.19,133.63,129.19,12911400,2001-01-05,SPY
2005,130.19,130.19,127.69,6625300,2001-01-08,SPY
2006,129.84,131.5,129.42,5702400,2001-01-09,SPY
2007,132.13,132.13,128.81,8746100,2001-01-10,SPY
2008,132.25,133.48,131.09,7245100,2001-01-11,SPY
2009,132.0,133.72,131.28,7244000,2001-01-12,SPY
2010,132.84,133.19,131.52,8542200,2001-01-16,SPY
2011,133.45,135.05,132.64,7851400,2001-01-17,SPY
2012,134.78,135.7,132.94,8107000,2001-01-18,SPY
2013,134.02,136.19,133.88,7782500,2001-01-19,SPY
2014,134.91,135.78,133.56,7050900,2001-01-22,SPY
2015,135.97,136.66,134.16,8463100,2001-01-23,SPY
2016,136.38,137.31,135.84,6199900,2001-01-24,SPY
2017,136.03,137.25,135.66,10818300,2001-01-25,SPY
2018,135.88,136.13,134.45,7136800,2001-01-26,SPY
2019,136.6,136.9,135.37,6705900,2001-01-29,SPY
2020,137.8,137.92,135.79,7069100,2001-01-30,SPY
